Table_ID,Cell_ID,Cell_Label,Cell_Label_Tier1,Cell_Label_Tier2,Cell_Label_Tier3,Cell_Label_Tier4,Cell_Label_Tier5,Cell_Label_Short_Tier1,Cell_Label_Short_Tier2,Cell_Label_Short_Tier3,Cell_Label_Short_Tier4,Cell_Label_Short_Tier5,EW_Count,n_Interior_Cells
ts012,ts0120017,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores),NA,NA,NA,NA,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores),NA,NA,NA,NA,Portugal (including Madeira and the Azores),156295,59
ts012,ts0120018,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),NA,NA,NA,NA,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),NA,NA,NA,NA,Spain (including Canary Islands),166916,59
ts012,ts0120019,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,NA,NA,NA,NA,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,NA,NA,NA,NA,Other member countries in March 2001,276726,59
ts012,ts0120020,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011,NA,NA,NA,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011,NA,NA,NA,NA,EU countries: Countries that joined the EU between April 2001 and March 2011,NA,2010149,59
ts012,ts0120021,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,NA,NA,NA,NA,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,NA,NA,NA,NA,Lithuania,164158,59
ts012,ts0120022,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,NA,NA,NA,NA,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,NA,NA,NA,NA,Poland,743083,59
ts012,ts0120023,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,NA,NA,NA,NA,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,NA,NA,NA,NA,Romania,538840,59
ts012,ts0120024,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,NA,NA,NA,NA,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,NA,NA,NA,NA,Other EU countries,564068,59
ts012,ts0120025,Europe: Other Europe: EU countries: Countries that joined the EU between April 2011 and March 2021,NA,NA,NA,Europe: Other Europe: EU countries: Countries that joined the EU between April 2011 and March 2021,NA,NA,NA,NA,EU countries: Countries that joined the EU between April 2011 and March 2021,NA,12827,59
ts012,ts0120026,Europe: Other Europe: EU countries: Countries that joined the EU between April 2011 and March 2021: Croatia,NA,NA,NA,NA,Europe: Other Europe: EU countries: Countries that joined the EU between April 2011 and March 2021: Croatia,NA,NA,NA,NA,Croatia,12827,59
ts012,ts0120027,Europe: Other Europe: Rest of Europe,NA,NA,Europe: Other Europe: Rest of Europe,NA,NA,NA,NA,Rest of Europe,NA,NA,499732,59
ts012,ts0120028,Europe: Other Europe: Rest of Europe: Turkey,NA,NA,NA,Europe: Other Europe: Rest of Europe: Turkey,Europe: Other Europe: Rest of Europe: Turkey,NA,NA,NA,Rest of Europe: Turkey,Turkey,127644,59
ts012,ts0120029,Europe: Other Europe: Rest of Europe: Other Europe,NA,NA,NA,Europe: Other Europe: Rest of Europe: Other Europe,Europe: Other Europe: Rest of Europe: Other Europe,NA,NA,NA,Rest of Europe: Other Europe,Other Europe,372088,59
ts012,ts0120030,Africa,Africa,NA,NA,NA,NA,Africa,NA,NA,NA,NA,1586958,59
ts012,ts0120031,Africa: North Africa,NA,Africa: North Africa,Africa: North Africa,Africa: North Africa,Africa: North Africa,NA,North Africa,North Africa,North Africa,North Africa,170599,59
ts012,ts0120032,Africa: Central and Western Africa,NA,Africa: Central and Western Africa,NA,NA,NA,NA,Central and Western Africa,NA,NA,NA,558765,59
ts012,ts0120033,Africa: Central and Western Africa: Ghana,NA,NA,Africa: Central and Western Africa: Ghana,Africa: Central and Western Africa: Ghana,Africa: Central and Western Africa: Ghana,NA,NA,Ghana,Ghana,Ghana,132577,59
ts012,ts0120034,Africa: Central and Western Africa: Nigeria,NA,NA,Africa: Central and Western Africa: Nigeria,Africa: Central and Western Africa: Nigeria,Africa: Central and Western Africa: Nigeria,NA,NA,Nigeria,Nigeria,Nigeria,270768,59
ts012,ts0120035,Africa: Central and Western Africa: Other Central and Western Africa,NA,NA,Africa: Central and Western Africa: Other Central and Western Africa,Africa: Central and Western Africa: Other Central and Western Africa,Africa: Central and Western Africa: Other Central and Western Africa,NA,NA,Other Central and Western Africa,Other Central and Western Africa,Other Central and Western Africa,155420,59
ts012,ts0120036,Africa: South and Eastern Africa,NA,Africa: South and Eastern Africa,NA,NA,NA,NA,South and Eastern Africa,NA,NA,NA,852521,59
ts012,ts0120037,Africa: South and Eastern Africa: Kenya,NA,NA,Africa: South and Eastern Africa: Kenya,Africa: South and Eastern Africa: Kenya,Africa: South and Eastern Africa: Kenya,NA,NA,Kenya,Kenya,Kenya,134944,59
ts012,ts0120038,Africa: South and Eastern Africa: Somalia,NA,NA,Africa: South and Eastern Africa: Somalia,Africa: South and Eastern Africa: Somalia,Africa: South and Eastern Africa: Somalia,NA,NA,Somalia,Somalia,Somalia,108921,59
ts012,ts0120039,Africa: South and Eastern Africa: South Africa,NA,NA,Africa: South and Eastern Africa: South Africa,Africa: South and Eastern Africa: South Africa,Africa: South and Eastern Africa: South Africa,NA,NA,South Africa,South Africa,South Africa,217180,59
ts012,ts0120040,Africa: South and Eastern Africa: Zimbabwe,NA,NA,Africa: South and Eastern Africa: Zimbabwe,Africa: South and Eastern Africa: Zimbabwe,Africa: South and Eastern Africa: Zimbabwe,NA,NA,Zimbabwe,Zimbabwe,Zimbabwe,124146,59
ts012,ts0120041,Africa: South and Eastern Africa: Other South and Eastern Africa,NA,NA,Africa: South and Eastern Africa: Other South and Eastern Africa,Africa: South and Eastern Africa: Other South and Eastern Africa,Africa: South and Eastern Africa: Other South and Eastern Africa,NA,NA,Other South and Eastern Africa,Other South and Eastern Africa,Other South and Eastern Africa,267330,59
ts012,ts0120042,Africa: Africa not otherwise specified,NA,Africa: Africa not otherwise specified,Africa: Africa not otherwise specified,Africa: Africa not otherwise specified,Africa: Africa not otherwise specified,NA,Africa not otherwise specified,Africa not otherwise specified,Africa not otherwise specified,Africa not otherwise specified,5073,59
ts012,ts0120043,Middle East and Asia,Middle East and Asia,NA,NA,NA,NA,Middle East and Asia,NA,NA,NA,NA,3311030,59
ts012,ts0120044,Middle East and Asia: Middle East,NA,Middle East and Asia: Middle East,NA,NA,NA,NA,Middle East,NA,NA,NA,409692,59
ts012,ts0120045,Middle East and Asia: Middle East: Iran,NA,NA,Middle East and Asia: Middle East: Iran,Middle East and Asia: Middle East: Iran,Middle East and Asia: Middle East: Iran,NA,NA,Iran,Iran,Iran,109168,59
ts012,ts0120046,Middle East and Asia: Middle East: Iraq,NA,NA,Middle East and Asia: Middle East: Iraq,Middle East and Asia: Middle East: Iraq,Middle East and Asia: Middle East: Iraq,NA,NA,Iraq,Iraq,Iraq,89394,59
ts012,ts0120047,Middle East and Asia: Middle East: Other Middle East,NA,NA,Middle East and Asia: Middle East: Other Middle East,Middle East and Asia: Middle East: Other Middle East,Middle East and Asia: Middle East: Other Middle East,NA,NA,Other Middle East,Other Middle East,Other Middle East,211130,59
ts012,ts0120048,Middle East and Asia: Eastern Asia,NA,Middle East and Asia: Eastern Asia,NA,NA,NA,NA,Eastern Asia,NA,NA,NA,373198,59
ts012,ts0120049,Middle East and Asia: Eastern Asia: China,NA,NA,Middle East and Asia: Eastern Asia: China,Middle East and Asia: Eastern Asia: China,Middle East and Asia: Eastern Asia: China,NA,NA,China,China,China,182376,59
ts012,ts0120050,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),NA,NA,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),NA,NA,Hong Kong (Special Administrative Region of China),Hong Kong (Special Administrative Region of China),Hong Kong (Special Administrative Region of China),121429,59
ts012,ts0120051,Middle East and Asia: Eastern Asia: Other Eastern Asia,NA,NA,Middle East and Asia: Eastern Asia: Other Eastern Asia,Middle East and Asia: Eastern Asia: Other Eastern Asia,Middle East and Asia: Eastern Asia: Other Eastern Asia,NA,NA,Other Eastern Asia,Other Eastern Asia,Other Eastern Asia,69393,59
ts012,ts0120052,Middle East and Asia: Southern Asia,NA,Middle East and Asia: Southern Asia,NA,NA,NA,NA,Southern Asia,NA,NA,NA,2126722,59
ts012,ts0120053,Middle East and Asia: Southern Asia: Afghanistan,NA,NA,Middle East and Asia: Southern Asia: Afghanistan,Middle East and Asia: Southern Asia: Afghanistan,Middle East and Asia: Southern Asia: Afghanistan,NA,NA,Afghanistan,Afghanistan,Afghanistan,85693,59
ts012,ts0120054,Middle East and Asia: Southern Asia: India,NA,NA,Middle East and Asia: Southern Asia: India,Middle East and Asia: Southern Asia: India,Middle East and Asia: Southern Asia: India,NA,NA,India,India,India,920361,59
ts012,ts0120055,Middle East and Asia: Southern Asia: Pakistan,NA,NA,Middle East and Asia: Southern Asia: Pakistan,Middle East and Asia: Southern Asia: Pakistan,Middle East and Asia: Southern Asia: Pakistan,NA,NA,Pakistan,Pakistan,Pakistan,623557,59
