Table_ID,Cell_ID,Cell_Label,Cell_Label_Tier1,Cell_Label_Tier2,Cell_Label_Tier3,Cell_Label_Tier4,Cell_Label_Tier5,Cell_Label_Short_Tier1,Cell_Label_Short_Tier2,Cell_Label_Short_Tier3,Cell_Label_Short_Tier4,Cell_Label_Short_Tier5,EW_Count,n_Interior_Cells
ts001,ts0010001,Total: All usual residents,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59597542,2
ts001,ts0010002,Lives in a household,Lives in a household,Lives in a household,Lives in a household,Lives in a household,Lives in a household,Lives in a household,Lives in a household,Lives in a household,Lives in a household,Lives in a household,58555851,2
ts001,ts0010003,Lives in a communal establishment,Lives in a communal establishment,Lives in a communal establishment,Lives in a communal establishment,Lives in a communal establishment,Lives in a communal establishment,Lives in a communal establishment,Lives in a communal establishment,Lives in a communal establishment,Lives in a communal establishment,Lives in a communal establishment,1041691,2
ts002,ts0020001,Total: All usual residents aged 16 years and over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48566373,11
ts002,ts0020002,Never married and never registered a civil partnership,Never married and never registered a civil partnership,Never married and never registered a civil partnership,Never married and never registered a civil partnership,Never married and never registered a civil partnership,Never married and never registered a civil partnership,Never married and never registered a civil partnership,Never married and never registered a civil partnership,Never married and never registered a civil partnership,Never married and never registered a civil partnership,Never married and never registered a civil partnership,18401778,11
ts002,ts0020003,Married or in a registered civil partnership,Married or in a registered civil partnership,NA,NA,NA,NA,Married or in a registered civil partnership,NA,NA,NA,NA,21683101,11
ts002,ts0020004,Married or in a registered civil partnership: Married,NA,Married or in a registered civil partnership: Married,NA,NA,NA,NA,Married,NA,NA,NA,21580492,11
ts002,ts0020005,Married or in a registered civil partnership: Married: Opposite sex,NA,NA,Married or in a registered civil partnership: Married: Opposite sex,Married or in a registered civil partnership: Married: Opposite sex,Married or in a registered civil partnership: Married: Opposite sex,NA,NA,Married: Opposite sex,Married: Opposite sex,Married: Opposite sex,21446221,11
ts002,ts0020006,Married or in a registered civil partnership: Married: Same sex,NA,NA,Married or in a registered civil partnership: Married: Same sex,Married or in a registered civil partnership: Married: Same sex,Married or in a registered civil partnership: Married: Same sex,NA,NA,Married: Same sex,Married: Same sex,Married: Same sex,134271,11
ts002,ts0020007,Married or in a registered civil partnership: In a registered civil partnership,NA,Married or in a registered civil partnership: In a registered civil partnership,NA,NA,NA,NA,In a registered civil partnership,NA,NA,NA,102609,11
ts002,ts0020008,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,NA,NA,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,NA,NA,In a registered civil partnership: Opposite sex,In a registered civil partnership: Opposite sex,In a registered civil partnership: Opposite sex,35797,11
ts002,ts0020009,Married or in a registered civil partnership: In a registered civil partnership: Same sex,NA,NA,Married or in a registered civil partnership: In a registered civil partnership: Same sex,Married or in a registered civil partnership: In a registered civil partnership: Same sex,Married or in a registered civil partnership: In a registered civil partnership: Same sex,NA,NA,In a registered civil partnership: Same sex,In a registered civil partnership: Same sex,In a registered civil partnership: Same sex,66812,11
ts002,ts0020010,"Separated, but still legally married or still legally in a civil partnership","Separated, but still legally married or still legally in a civil partnership",NA,NA,NA,NA,"Separated, but still legally married or still legally in a civil partnership",NA,NA,NA,NA,1085987,11
ts002,ts0020011,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",NA,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married","Separated, but still legally married or still legally in a civil partnership: Separated, but still married","Separated, but still legally married or still legally in a civil partnership: Separated, but still married","Separated, but still legally married or still legally in a civil partnership: Separated, but still married",NA,"Separated, but still married","Separated, but still married","Separated, but still married","Separated, but still married",1078052,11
ts002,ts0020012,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",NA,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership","Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership","Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership","Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",NA,"Separated, but still in a registered civil partnership","Separated, but still in a registered civil partnership","Separated, but still in a registered civil partnership","Separated, but still in a registered civil partnership",7935,11
ts002,ts0020013,Divorced or civil partnership dissolved,Divorced or civil partnership dissolved,NA,NA,NA,NA,Divorced or civil partnership dissolved,NA,NA,NA,NA,4424346,11
ts002,ts0020014,Divorced or civil partnership dissolved: Divorced,NA,Divorced or civil partnership dissolved: Divorced,Divorced or civil partnership dissolved: Divorced,Divorced or civil partnership dissolved: Divorced,Divorced or civil partnership dissolved: Divorced,NA,Divorced,Divorced,Divorced,Divorced,4412518,11
ts002,ts0020015,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,NA,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,NA,Formerly in a civil partnership now legally dissolved,Formerly in a civil partnership now legally dissolved,Formerly in a civil partnership now legally dissolved,Formerly in a civil partnership now legally dissolved,11828,11
ts002,ts0020016,Widowed or surviving civil partnership partner,Widowed or surviving civil partnership partner,NA,NA,NA,NA,Widowed or surviving civil partnership partner,NA,NA,NA,NA,2971161,11
ts002,ts0020017,Widowed or surviving civil partnership partner: Widowed,NA,Widowed or surviving civil partnership partner: Widowed,Widowed or surviving civil partnership partner: Widowed,Widowed or surviving civil partnership partner: Widowed,Widowed or surviving civil partnership partner: Widowed,NA,Widowed,Widowed,Widowed,Widowed,2966923,11
ts002,ts0020018,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,NA,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,NA,Surviving partner from civil partnership,Surviving partner from civil partnership,Surviving partner from civil partnership,Surviving partner from civil partnership,4238,11
ts003,ts0030001,Total: All households,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24783199,14
ts003,ts0030002,One person household,One person household,NA,NA,NA,NA,One person household,NA,NA,NA,NA,7481788,14
ts003,ts0030003,One person household: Aged 66 years and over,NA,One person household: Aged 66 years and over,One person household: Aged 66 years and over,One person household: Aged 66 years and over,One person household: Aged 66 years and over,NA,Aged 66 years and over,Aged 66 years and over,Aged 66 years and over,Aged 66 years and over,3197845,14
ts003,ts0030004,One person household: Other,NA,One person household: Other,One person household: Other,One person household: Other,One person household: Other,NA,Other,Other,Other,Other,4283943,14
ts003,ts0030005,Single family household,Single family household,NA,NA,NA,NA,Single family household,NA,NA,NA,NA,15613018,14
ts003,ts0030006,Single family household: All aged 66 years and over,NA,Single family household: All aged 66 years and over,Single family household: All aged 66 years and over,Single family household: All aged 66 years and over,Single family household: All aged 66 years and over,NA,All aged 66 years and over,All aged 66 years and over,All aged 66 years and over,All aged 66 years and over,2283288,14
ts003,ts0030007,Single family household: Married or civil partnership couple,NA,Single family household: Married or civil partnership couple,NA,NA,NA,NA,Married or civil partnership couple,NA,NA,NA,7516491,14
ts003,ts0030008,Single family household: Married or civil partnership couple: No children,NA,NA,Single family household: Married or civil partnership couple: No children,Single family household: Married or civil partnership couple: No children,Single family household: Married or civil partnership couple: No children,NA,NA,Married or civil partnership couple: No children,Married or civil partnership couple: No children,Married or civil partnership couple: No children,2585219,14
ts003,ts0030009,Single family household: Married or civil partnership couple: With dependent children,NA,NA,Single family household: Married or civil partnership couple: With dependent children,Single family household: Married or civil partnership couple: With dependent children,Single family household: Married or civil partnership couple: With dependent children,NA,NA,Married or civil partnership couple: With dependent children,Married or civil partnership couple: With dependent children,Married or civil partnership couple: With dependent children,3535421,14
ts003,ts0030010,Single family household: Married or civil partnership couple: All children non-dependent,NA,NA,Single family household: Married or civil partnership couple: All children non-dependent,Single family household: Married or civil partnership couple: All children non-dependent,Single family household: Married or civil partnership couple: All children non-dependent,NA,NA,Married or civil partnership couple: All children non-dependent,Married or civil partnership couple: All children non-dependent,Married or civil partnership couple: All children non-dependent,1395851,14
ts003,ts0030011,Single family household: Cohabiting couple family,NA,Single family household: Cohabiting couple family,NA,NA,NA,NA,Cohabiting couple family,NA,NA,NA,2864627,14
ts003,ts0030012,Single family household: Cohabiting couple family: No children,NA,NA,Single family household: Cohabiting couple family: No children,Single family household: Cohabiting couple family: No children,Single family household: Cohabiting couple family: No children,NA,NA,Cohabiting couple family: No children,Cohabiting couple family: No children,Cohabiting couple family: No children,1564054,14
ts003,ts0030013,Single family household: Cohabiting couple family: With dependent children,NA,NA,Single family household: Cohabiting couple family: With dependent children,Single family household: Cohabiting couple family: With dependent children,Single family household: Cohabiting couple family: With dependent children,NA,NA,Cohabiting couple family: With dependent children,Cohabiting couple family: With dependent children,Cohabiting couple family: With dependent children,1120941,14
ts003,ts0030014,Single family household: Cohabiting couple family: All children non-dependent,NA,NA,Single family household: Cohabiting couple family: All children non-dependent,Single family household: Cohabiting couple family: All children non-dependent,Single family household: Cohabiting couple family: All children non-dependent,NA,NA,Cohabiting couple family: All children non-dependent,Cohabiting couple family: All children non-dependent,Cohabiting couple family: All children non-dependent,179632,14
ts003,ts0030015,Single family household: Lone parent family,NA,Single family household: Lone parent family,NA,NA,NA,NA,Lone parent family,NA,NA,NA,2756737,14
ts003,ts0030016,Single family household: Lone parent family: With dependent children,NA,NA,Single family household: Lone parent family: With dependent children,Single family household: Lone parent family: With dependent children,Single family household: Lone parent family: With dependent children,NA,NA,Lone parent family: With dependent children,Lone parent family: With dependent children,Lone parent family: With dependent children,1719350,14
ts003,ts0030017,Single family household: Lone parent family: All children non-dependent,NA,NA,Single family household: Lone parent family: All children non-dependent,Single family household: Lone parent family: All children non-dependent,Single family household: Lone parent family: All children non-dependent,NA,NA,Lone parent family: All children non-dependent,Lone parent family: All children non-dependent,Lone parent family: All children non-dependent,1037387,14
ts003,ts0030018,Single family household: Other single family household,NA,Single family household: Other single family household,NA,NA,NA,NA,Other single family household,NA,NA,NA,191875,14
ts003,ts0030019,Single family household: Other single family household: Other family composition,NA,NA,Single family household: Other single family household: Other family composition,Single family household: Other single family household: Other family composition,Single family household: Other single family household: Other family composition,NA,NA,Other family composition,Other family composition,Other family composition,191875,14
ts003,ts0030020,Other household types,Other household types,NA,NA,NA,NA,Other household types,NA,NA,NA,NA,1688393,14
ts003,ts0030021,Other household types: With dependent children,NA,Other household types: With dependent children,Other household types: With dependent children,Other household types: With dependent children,Other household types: With dependent children,NA,With dependent children,With dependent children,With dependent children,With dependent children,656418,14
ts003,ts0030022,"Other household types: Other, including all full-time students and all aged 66 years and over",NA,"Other household types: Other, including all full-time students and all aged 66 years and over","Other household types: Other, including all full-time students and all aged 66 years and over","Other household types: Other, including all full-time students and all aged 66 years and over","Other household types: Other, including all full-time students and all aged 66 years and over",NA,"Other, including all full-time students and all aged 66 years and over","Other, including all full-time students and all aged 66 years and over","Other, including all full-time students and all aged 66 years and over","Other, including all full-time students and all aged 66 years and over",1031975,14
ts004,ts0040001,Total: All usual residents,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59597542,11
ts004,ts0040002,Europe,Europe,NA,NA,NA,NA,Europe,NA,NA,NA,NA,53722544,11
ts004,ts0040003,Europe: United Kingdom,NA,Europe: United Kingdom,Europe: United Kingdom,Europe: United Kingdom,Europe: United Kingdom,NA,United Kingdom,United Kingdom,United Kingdom,United Kingdom,49579570,11
ts004,ts0040004,Europe: EU countries,NA,Europe: EU countries,NA,NA,NA,NA,EU countries,NA,NA,NA,3643242,11
ts004,ts0040005,Europe: EU countries: European Union EU14,NA,NA,Europe: EU countries: European Union EU14,Europe: EU countries: European Union EU14,Europe: EU countries: European Union EU14,NA,NA,European Union EU14,European Union EU14,European Union EU14,1620266,11
ts004,ts0040006,Europe: EU countries: European Union EU8,NA,NA,Europe: EU countries: European Union EU8,Europe: EU countries: European Union EU8,Europe: EU countries: European Union EU8,NA,NA,European Union EU8,European Union EU8,European Union EU8,1225623,11
ts004,ts0040007,Europe: EU countries: European Union EU2,NA,NA,Europe: EU countries: European Union EU2,Europe: EU countries: European Union EU2,Europe: EU countries: European Union EU2,NA,NA,European Union EU2,European Union EU2,European Union EU2,689094,11
ts004,ts0040008,Europe: EU countries: All other EU countries,NA,NA,Europe: EU countries: All other EU countries,Europe: EU countries: All other EU countries,Europe: EU countries: All other EU countries,NA,NA,All other EU countries,All other EU countries,All other EU countries,108259,11
ts004,ts0040009,Europe: Non-EU countries,NA,Europe: Non-EU countries,NA,NA,NA,NA,Non-EU countries,NA,NA,NA,499732,11
ts004,ts0040010,Europe: Non-EU countries: All other non-EU countries,NA,NA,Europe: Non-EU countries: All other non-EU countries,Europe: Non-EU countries: All other non-EU countries,Europe: Non-EU countries: All other non-EU countries,NA,NA,All other non-EU countries,All other non-EU countries,All other non-EU countries,499732,11
ts004,ts0040011,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,1584575,11
ts004,ts0040012,Middle East and Asia,Middle East and Asia,Middle East and Asia,Middle East and Asia,Middle East and Asia,Middle East and Asia,Middle East and Asia,Middle East and Asia,Middle East and Asia,Middle East and Asia,Middle East and Asia,3311030,11
ts004,ts0040013,The Americas and the Caribbean,The Americas and the Caribbean,The Americas and the Caribbean,The Americas and the Caribbean,The Americas and the Caribbean,The Americas and the Caribbean,The Americas and the Caribbean,The Americas and the Caribbean,The Americas and the Caribbean,The Americas and the Caribbean,The Americas and the Caribbean,785754,11
ts004,ts0040014,Antarctica and Oceania (including Australasia) and Other,Antarctica and Oceania (including Australasia) and Other,Antarctica and Oceania (including Australasia) and Other,Antarctica and Oceania (including Australasia) and Other,Antarctica and Oceania (including Australasia) and Other,Antarctica and Oceania (including Australasia) and Other,Antarctica and Oceania (including Australasia) and Other,Antarctica and Oceania (including Australasia) and Other,Antarctica and Oceania (including Australasia) and Other,Antarctica and Oceania (including Australasia) and Other,Antarctica and Oceania (including Australasia) and Other,172547,11
ts004,ts0040015,British Overseas,British Overseas,British Overseas,British Overseas,British Overseas,British Overseas,British Overseas,British Overseas,British Overseas,British Overseas,British Overseas,21092,11
ts005,ts0050001,Total: All usual residents,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59597538,26
ts005,ts0050002,Europe,Europe,NA,NA,NA,NA,Europe,NA,NA,NA,NA,49745555,26
ts005,ts0050003,Europe: United Kingdom,NA,Europe: United Kingdom,Europe: United Kingdom,Europe: United Kingdom,Europe: United Kingdom,NA,United Kingdom,United Kingdom,United Kingdom,United Kingdom,45688445,26
ts005,ts0050004,Europe: Ireland,NA,Europe: Ireland,Europe: Ireland,Europe: Ireland,Europe: Ireland,NA,Ireland,Ireland,Ireland,Ireland,364726,26
ts005,ts0050005,Europe: Other Europe,NA,Europe: Other Europe,NA,NA,NA,NA,Other Europe,NA,NA,NA,3692384,26
ts005,ts0050006,Europe: Other Europe: EU Member countries,NA,NA,Europe: Other Europe: EU Member countries,NA,NA,NA,NA,EU Member countries,NA,NA,3520436,26
ts005,ts0050007,Europe: Other Europe: EU Member countries: France,NA,NA,NA,Europe: Other Europe: EU Member countries: France,Europe: Other Europe: EU Member countries: France,NA,NA,NA,EU Member countries: France,EU Member countries: France,163517,26
ts005,ts0050008,Europe: Other Europe: EU Member countries: Germany,NA,NA,NA,Europe: Other Europe: EU Member countries: Germany,Europe: Other Europe: EU Member countries: Germany,NA,NA,NA,EU Member countries: Germany,EU Member countries: Germany,119354,26
ts005,ts0050009,Europe: Other Europe: EU Member countries: Italy,NA,NA,NA,Europe: Other Europe: EU Member countries: Italy,Europe: Other Europe: EU Member countries: Italy,NA,NA,NA,EU Member countries: Italy,EU Member countries: Italy,368738,26
ts005,ts0050010,Europe: Other Europe: EU Member countries: Portugal,NA,NA,NA,Europe: Other Europe: EU Member countries: Portugal,Europe: Other Europe: EU Member countries: Portugal,NA,NA,NA,EU Member countries: Portugal,EU Member countries: Portugal,286489,26
ts005,ts0050011,Europe: Other Europe: EU Member countries: Spain,NA,NA,NA,Europe: Other Europe: EU Member countries: Spain,Europe: Other Europe: EU Member countries: Spain,NA,NA,NA,EU Member countries: Spain,EU Member countries: Spain,216728,26
ts005,ts0050012,Europe: Other Europe: EU Member countries: Lithuania,NA,NA,NA,Europe: Other Europe: EU Member countries: Lithuania,Europe: Other Europe: EU Member countries: Lithuania,NA,NA,NA,EU Member countries: Lithuania,EU Member countries: Lithuania,185159,26
ts005,ts0050013,Europe: Other Europe: EU Member countries: Poland,NA,NA,NA,Europe: Other Europe: EU Member countries: Poland,Europe: Other Europe: EU Member countries: Poland,NA,NA,NA,EU Member countries: Poland,EU Member countries: Poland,760146,26
ts005,ts0050014,Europe: Other Europe: EU Member countries: Romania,NA,NA,NA,Europe: Other Europe: EU Member countries: Romania,Europe: Other Europe: EU Member countries: Romania,NA,NA,NA,EU Member countries: Romania,EU Member countries: Romania,550298,26
ts005,ts0050015,Europe: Other Europe: EU Member countries: Other EU countries,NA,NA,NA,Europe: Other Europe: EU Member countries: Other EU countries,Europe: Other Europe: EU Member countries: Other EU countries,NA,NA,NA,EU Member countries: Other EU countries,EU Member countries: Other EU countries,870007,26
ts005,ts0050016,Europe: Other Europe: Rest of Europe,NA,NA,Europe: Other Europe: Rest of Europe,NA,NA,NA,NA,Rest of Europe,NA,NA,171948,26
ts005,ts0050017,Europe: Other Europe: Rest of Europe: Turkey,NA,NA,NA,Europe: Other Europe: Rest of Europe: Turkey,Europe: Other Europe: Rest of Europe: Turkey,NA,NA,NA,Rest of Europe: Turkey,Rest of Europe: Turkey,45438,26
ts005,ts0050018,Europe: Other Europe: Rest of Europe: Other Europe,NA,NA,NA,Europe: Other Europe: Rest of Europe: Other Europe,Europe: Other Europe: Rest of Europe: Other Europe,NA,NA,NA,Rest of Europe: Other Europe,Rest of Europe: Other Europe,126510,26
ts005,ts0050019,Africa,Africa,NA,NA,NA,NA,Africa,NA,NA,NA,NA,378306,26
ts005,ts0050020,Africa: North Africa,NA,Africa: North Africa,Africa: North Africa,Africa: North Africa,Africa: North Africa,NA,North Africa,North Africa,North Africa,North Africa,54372,26
ts005,ts0050021,Africa: Central and Western Africa,NA,Africa: Central and Western Africa,Africa: Central and Western Africa,Africa: Central and Western Africa,Africa: Central and Western Africa,NA,Central and Western Africa,Central and Western Africa,Central and Western Africa,Central and Western Africa,195158,26
ts005,ts0050022,Africa: South and Eastern Africa,NA,Africa: South and Eastern Africa,Africa: South and Eastern Africa,Africa: South and Eastern Africa,Africa: South and Eastern Africa,NA,South and Eastern Africa,South and Eastern Africa,South and Eastern Africa,South and Eastern Africa,128776,26
ts005,ts0050023,Middle East and Asia,Middle East and Asia,NA,NA,NA,NA,Middle East and Asia,NA,NA,NA,NA,1076219,26
ts005,ts0050024,Middle East and Asia: Middle East,NA,Middle East and Asia: Middle East,Middle East and Asia: Middle East,Middle East and Asia: Middle East,Middle East and Asia: Middle East,NA,Middle East,Middle East,Middle East,Middle East,72154,26
ts005,ts0050025,Middle East and Asia: Eastern Asia,NA,Middle East and Asia: Eastern Asia,Middle East and Asia: Eastern Asia,Middle East and Asia: Eastern Asia,Middle East and Asia: Eastern Asia,NA,Eastern Asia,Eastern Asia,Eastern Asia,Eastern Asia,174826,26
ts005,ts0050026,Middle East and Asia: Southern Asia,NA,Middle East and Asia: Southern Asia,Middle East and Asia: Southern Asia,Middle East and Asia: Southern Asia,Middle East and Asia: Southern Asia,NA,Southern Asia,Southern Asia,Southern Asia,Southern Asia,693403,26
ts005,ts0050027,Middle East and Asia: South-East Asia,NA,Middle East and Asia: South-East Asia,Middle East and Asia: South-East Asia,Middle East and Asia: South-East Asia,Middle East and Asia: South-East Asia,NA,South-East Asia,South-East Asia,South-East Asia,South-East Asia,130956,26
ts005,ts0050028,Middle East and Asia: Central Asia,NA,Middle East and Asia: Central Asia,Middle East and Asia: Central Asia,Middle East and Asia: Central Asia,Middle East and Asia: Central Asia,NA,Central Asia,Central Asia,Central Asia,Central Asia,4880,26
ts005,ts0050029,The Americas and the Caribbean,The Americas and the Caribbean,NA,NA,NA,NA,The Americas and the Caribbean,NA,NA,NA,NA,300267,26
ts005,ts0050030,The Americas and the Caribbean: North America and the Caribbean,NA,The Americas and the Caribbean: North America and the Caribbean,The Americas and the Caribbean: North America and the Caribbean,The Americas and the Caribbean: North America and the Caribbean,The Americas and the Caribbean: North America and the Caribbean,NA,North America and the Caribbean,North America and the Caribbean,North America and the Caribbean,North America and the Caribbean,203088,26
ts005,ts0050031,The Americas and the Caribbean: Central and South America,NA,The Americas and the Caribbean: Central and South America,The Americas and the Caribbean: Central and South America,The Americas and the Caribbean: Central and South America,The Americas and the Caribbean: Central and South America,NA,Central and South America,Central and South America,Central and South America,Central and South America,97179,26
ts005,ts0050032,"Antarctica and Oceania, including Australasia","Antarctica and Oceania, including Australasia","Antarctica and Oceania, including Australasia","Antarctica and Oceania, including Australasia","Antarctica and Oceania, including Australasia","Antarctica and Oceania, including Australasia","Antarctica and Oceania, including Australasia","Antarctica and Oceania, including Australasia","Antarctica and Oceania, including Australasia","Antarctica and Oceania, including Australasia","Antarctica and Oceania, including Australasia",76872,26
ts005,ts0050033,British Overseas Territories,British Overseas Territories,British Overseas Territories,British Overseas Territories,British Overseas Territories,British Overseas Territories,British Overseas Territories,British Overseas Territories,British Overseas Territories,British Overseas Territories,British Overseas Territories,639,26
ts005,ts0050034,No passport held,No passport held,No passport held,No passport held,No passport held,No passport held,No passport held,No passport held,No passport held,No passport held,No passport held,8019680,26
ts006,ts0060001,Usual residents per square kilometre,Usual residents per square kilometre,Usual residents per square kilometre,Usual residents per square kilometre,Usual residents per square kilometre,Usual residents per square kilometre,Usual residents per square kilometre,Usual residents per square kilometre,Usual residents per square kilometre,Usual residents per square kilometre,Usual residents per square kilometre,394.6,1
ts007,ts0070001,Total: All usual residents,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59597546,101
ts007,ts0070002,Aged 4 years and under,Aged 4 years and under,NA,NA,NA,NA,Aged 4 years and under,NA,NA,NA,NA,3232036,101
ts007,ts0070003,Aged 4 years and under: Aged under 1 year,NA,Aged 4 years and under: Aged under 1 year,Aged 4 years and under: Aged under 1 year,Aged 4 years and under: Aged under 1 year,Aged 4 years and under: Aged under 1 year,NA,Aged under 1 year,Aged under 1 year,Aged under 1 year,Aged under 1 year,607324,101
ts007,ts0070004,Aged 4 years and under: Aged 1 year,NA,Aged 4 years and under: Aged 1 year,Aged 4 years and under: Aged 1 year,Aged 4 years and under: Aged 1 year,Aged 4 years and under: Aged 1 year,NA,Aged 1 year,Aged 1 year,Aged 1 year,Aged 1 year,635763,101
ts007,ts0070005,Aged 4 years and under: Aged 2 years,NA,Aged 4 years and under: Aged 2 years,Aged 4 years and under: Aged 2 years,Aged 4 years and under: Aged 2 years,Aged 4 years and under: Aged 2 years,NA,Aged 2 years,Aged 2 years,Aged 2 years,Aged 2 years,650192,101
ts007,ts0070006,Aged 4 years and under: Aged 3 years,NA,Aged 4 years and under: Aged 3 years,Aged 4 years and under: Aged 3 years,Aged 4 years and under: Aged 3 years,Aged 4 years and under: Aged 3 years,NA,Aged 3 years,Aged 3 years,Aged 3 years,Aged 3 years,658769,101
ts007,ts0070007,Aged 4 years and under: Aged 4 years,NA,Aged 4 years and under: Aged 4 years,Aged 4 years and under: Aged 4 years,Aged 4 years and under: Aged 4 years,Aged 4 years and under: Aged 4 years,NA,Aged 4 years,Aged 4 years,Aged 4 years,Aged 4 years,679988,101
ts007,ts0070008,Aged 5 to 9 years,Aged 5 to 9 years,NA,NA,NA,NA,Aged 5 to 9 years,NA,NA,NA,NA,3524627,101
ts007,ts0070009,Aged 5 to 9 years: Aged 5 years,NA,Aged 5 to 9 years: Aged 5 years,Aged 5 to 9 years: Aged 5 years,Aged 5 to 9 years: Aged 5 years,Aged 5 to 9 years: Aged 5 years,NA,Aged 5 years,Aged 5 years,Aged 5 years,Aged 5 years,693135,101
ts007,ts0070010,Aged 5 to 9 years: Aged 6 years,NA,Aged 5 to 9 years: Aged 6 years,Aged 5 to 9 years: Aged 6 years,Aged 5 to 9 years: Aged 6 years,Aged 5 to 9 years: Aged 6 years,NA,Aged 6 years,Aged 6 years,Aged 6 years,Aged 6 years,684648,101
ts007,ts0070011,Aged 5 to 9 years: Aged 7 years,NA,Aged 5 to 9 years: Aged 7 years,Aged 5 to 9 years: Aged 7 years,Aged 5 to 9 years: Aged 7 years,Aged 5 to 9 years: Aged 7 years,NA,Aged 7 years,Aged 7 years,Aged 7 years,Aged 7 years,693242,101
ts007,ts0070012,Aged 5 to 9 years: Aged 8 years,NA,Aged 5 to 9 years: Aged 8 years,Aged 5 to 9 years: Aged 8 years,Aged 5 to 9 years: Aged 8 years,Aged 5 to 9 years: Aged 8 years,NA,Aged 8 years,Aged 8 years,Aged 8 years,Aged 8 years,722331,101
ts007,ts0070013,Aged 5 to 9 years: Aged 9 years,NA,Aged 5 to 9 years: Aged 9 years,Aged 5 to 9 years: Aged 9 years,Aged 5 to 9 years: Aged 9 years,Aged 5 to 9 years: Aged 9 years,NA,Aged 9 years,Aged 9 years,Aged 9 years,Aged 9 years,731271,101
ts007,ts0070014,Aged 10 to 15 years,Aged 10 to 15 years,NA,NA,NA,NA,Aged 10 to 15 years,NA,NA,NA,NA,4274508,101
ts007,ts0070015,Aged 10 to 15 years: Aged 10 years,NA,Aged 10 to 15 years: Aged 10 years,Aged 10 to 15 years: Aged 10 years,Aged 10 to 15 years: Aged 10 years,Aged 10 to 15 years: Aged 10 years,NA,Aged 10 years,Aged 10 years,Aged 10 years,Aged 10 years,731567,101
ts007,ts0070016,Aged 10 to 15 years: Aged 11 years,NA,Aged 10 to 15 years: Aged 11 years,Aged 10 to 15 years: Aged 11 years,Aged 10 to 15 years: Aged 11 years,Aged 10 to 15 years: Aged 11 years,NA,Aged 11 years,Aged 11 years,Aged 11 years,Aged 11 years,724494,101
ts007,ts0070017,Aged 10 to 15 years: Aged 12 years,NA,Aged 10 to 15 years: Aged 12 years,Aged 10 to 15 years: Aged 12 years,Aged 10 to 15 years: Aged 12 years,Aged 10 to 15 years: Aged 12 years,NA,Aged 12 years,Aged 12 years,Aged 12 years,Aged 12 years,722043,101
ts007,ts0070018,Aged 10 to 15 years: Aged 13 years,NA,Aged 10 to 15 years: Aged 13 years,Aged 10 to 15 years: Aged 13 years,Aged 10 to 15 years: Aged 13 years,Aged 10 to 15 years: Aged 13 years,NA,Aged 13 years,Aged 13 years,Aged 13 years,Aged 13 years,719401,101
ts007,ts0070019,Aged 10 to 15 years: Aged 14 years,NA,Aged 10 to 15 years: Aged 14 years,Aged 10 to 15 years: Aged 14 years,Aged 10 to 15 years: Aged 14 years,Aged 10 to 15 years: Aged 14 years,NA,Aged 14 years,Aged 14 years,Aged 14 years,Aged 14 years,698524,101
ts007,ts0070020,Aged 10 to 15 years: Aged 15 years,NA,Aged 10 to 15 years: Aged 15 years,Aged 10 to 15 years: Aged 15 years,Aged 10 to 15 years: Aged 15 years,Aged 10 to 15 years: Aged 15 years,NA,Aged 15 years,Aged 15 years,Aged 15 years,Aged 15 years,678479,101
ts007,ts0070021,Aged 16 to 19 years,Aged 16 to 19 years,NA,NA,NA,NA,Aged 16 to 19 years,NA,NA,NA,NA,2716186,101
